Serial_number:
2026272
Project ID:
CGC_Saint-Edouard
Location:
F21_20160224
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2016/02/24,18:00:00,0,19.6599,6.970
2016/02/24,18:15:00,0,19.6705,6.970
2016/02/24,18:30:00,0,19.6723,6.971
2016/02/24,18:45:00,0,19.6767,6.970
2016/02/24,19:00:00,0,19.6883,6.970
2016/02/24,19:15:00,0,19.6919,6.969
2016/02/24,19:30:00,0,19.7016,6.968
2016/02/24,19:45:00,0,19.7072,6.968
2016/02/24,20:00:00,0,19.7132,6.967
2016/02/24,20:15:00,0,19.7188,6.967
2016/02/24,20:30:00,0,19.7195,6.966
2016/02/24,20:45:00,0,19.7249,6.965
2016/02/24,21:00:00,0,19.7303,6.966
2016/02/24,21:15:00,0,19.7298,6.967
2016/02/24,21:30:00,0,19.7335,6.967
2016/02/24,21:45:00,0,19.7362,6.966
2016/02/24,22:00:00,0,19.7429,6.967
2016/02/24,22:15:00,0,19.7416,6.967
2016/02/24,22:30:00,0,19.7470,6.966
2016/02/24,22:45:00,0,19.7497,6.967
2016/02/24,23:00:00,0,19.7566,6.967
2016/02/24,23:15:00,0,19.7515,6.968
2016/02/24,23:30:00,0,19.7573,6.967
2016/02/24,23:45:00,0,19.7556,6.967
2016/02/25,00:00:00,0,19.7599,6.967
2016/02/25,00:15:00,0,19.7637,6.968
2016/02/25,00:30:00,0,19.7656,6.967
2016/02/25,00:45:00,0,19.7685,6.968
2016/02/25,01:00:00,0,19.7660,6.967
2016/02/25,01:15:00,0,19.7625,6.968
2016/02/25,01:30:00,0,19.7681,6.968
2016/02/25,01:45:00,0,19.7731,6.968
2016/02/25,02:00:00,0,19.7796,6.967
2016/02/25,02:15:00,0,19.7788,6.967
2016/02/25,02:30:00,0,19.7813,6.967
2016/02/25,02:45:00,0,19.7797,6.967
2016/02/25,03:00:00,0,19.7915,6.966
2016/02/25,03:15:00,0,19.7935,6.967
2016/02/25,03:30:00,0,19.7935,6.967
2016/02/25,03:45:00,0,19.7711,6.966
2016/02/25,04:00:00,0,19.7702,6.966
2016/02/25,04:15:00,0,19.7730,6.966
2016/02/25,04:30:00,0,19.7870,6.965
2016/02/25,04:45:00,0,19.7871,6.966
2016/02/25,05:00:00,0,19.7859,6.966
2016/02/25,05:15:00,0,19.7980,6.966
2016/02/25,05:30:00,0,19.8000,6.966
2016/02/25,05:45:00,0,19.8064,6.966
