Serial_number:
2022016
Project ID:
CGC_McCully
Location:
PO-05_20160729
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,LEVEL,TEMPERATURE
2016-07-29,14:57:44,13.0202,9.186
2016-07-29,14:57:45,13.0203,9.161
2016-07-29,14:57:46,13.0202,9.146
2016-07-29,14:57:47,13.0199,9.130
2016-07-29,14:57:48,13.0200,9.114
2016-07-29,14:57:49,13.0199,9.097
2016-07-29,14:57:50,13.0201,9.081
2016-07-29,14:57:51,13.0200,9.065
2016-07-29,14:57:52,13.0199,9.049
2016-07-29,14:57:53,13.0195,9.034
2016-07-29,14:57:54,13.0199,9.018
2016-07-29,14:57:55,13.0197,9.004
2016-07-29,14:57:56,13.0194,8.988
2016-07-29,14:57:57,13.0191,8.974
2016-07-29,14:57:58,13.0191,8.960
2016-07-29,14:57:59,13.0190,8.945
2016-07-29,14:58:00,13.0189,8.930
2016-07-29,14:58:01,13.0193,8.917
2016-07-29,14:58:02,13.0190,8.903
2016-07-29,14:58:03,13.0190,8.889
2016-07-29,14:58:04,13.0190,8.876
2016-07-29,14:58:05,13.0188,8.863
2016-07-29,14:58:06,13.0188,8.849
2016-07-29,14:58:08,13.0188,8.837
2016-07-29,14:58:09,13.0187,8.824
2016-07-29,14:58:10,13.0190,8.811
2016-07-29,14:58:11,13.0185,8.799
2016-07-29,14:58:12,13.0189,8.787
2016-07-29,14:58:13,13.0191,8.774
2016-07-29,14:58:14,13.0193,8.762
2016-07-29,14:58:15,13.0199,8.751
2016-07-29,14:58:16,13.0201,8.739
2016-07-29,14:58:17,13.0203,8.728
2016-07-29,14:58:18,13.0202,8.717
2016-07-29,14:58:19,13.0203,8.706
2016-07-29,14:58:20,13.0208,8.695
2016-07-29,14:58:21,13.0211,8.684
2016-07-29,14:58:22,13.1760,8.672
2016-07-29,14:58:23,13.3151,8.662
2016-07-29,14:58:24,13.4438,8.651
2016-07-29,14:58:25,13.5665,8.641
2016-07-29,14:58:26,13.6850,8.631
2016-07-29,14:58:27,13.7990,8.620
2016-07-29,14:58:28,14.0654,8.610
2016-07-29,14:58:29,14.2801,8.600
2016-07-29,14:58:30,14.4357,8.591
2016-07-29,14:58:31,14.5627,8.580
2016-07-29,14:58:32,14.6539,8.571
2016-07-29,14:58:33,14.6814,8.561
2016-07-29,14:58:34,14.6207,8.552
2016-07-29,14:58:35,14.5693,8.543
2016-07-29,14:58:36,14.5300,8.534
2016-07-29,14:58:37,14.4976,8.525
2016-07-29,14:58:38,14.4699,8.516
2016-07-29,14:59:33,14.0810,8.131
2016-07-29,14:59:37,14.0768,8.124
2016-07-29,14:59:50,14.0359,8.056
2016-07-29,14:59:52,14.0315,8.051
2016-07-29,14:59:53,14.0238,8.042
2016-07-29,14:59:55,14.0224,8.044
2016-07-29,14:59:56,14.0162,8.036
2016-07-29,14:59:58,14.0150,8.036
2016-07-29,14:59:58,14.0141,8.035
2016-07-29,14:59:59,14.0120,8.031
2016-07-29,15:00:00,14.0059,8.020
2016-07-29,15:00:01,14.0015,8.014
2016-07-29,15:00:40,13.9077,7.879
2016-07-29,15:00:41,13.9045,7.877
2016-07-29,15:00:42,13.9018,7.876
