Well Name,Brome
Well ID,03030011
Latitude,45.182282
Longitude,-72.577841
Elevation,200.83
Nappe,Captive
Influenced,Non

Time,Year,Month,Day,Water level (masl),Water temperature (degC)
40508.0,2010,11,26,199.29,8.18
40509.0,2010,11,27,199.56,8.3
40510.0,2010,11,28,199.49,8.33
40511.0,2010,11,29,199.45,8.35
40512.0,2010,11,30,199.47,8.36
40513.0,2010,12,1,199.45,8.37
40514.0,2010,12,2,199.55,8.37
40515.0,2010,12,3,199.52,8.39
40516.0,2010,12,4,199.61,8.4
40517.0,2010,12,5,199.58,8.41
40518.0,2010,12,6,199.48,8.41
40519.0,2010,12,7,199.59,8.41
40520.0,2010,12,8,199.6,8.42
40521.0,2010,12,9,199.57,8.42
40522.0,2010,12,10,199.49,8.42
40523.0,2010,12,11,199.55,8.43
40524.0,2010,12,12,199.56,8.42
40525.0,2010,12,13,199.5,8.42
40526.0,2010,12,14,199.61,8.42
40527.0,2010,12,15,199.65,8.43
40528.0,2010,12,16,199.59,8.43
40529.0,2010,12,17,199.61,8.43
40530.0,2010,12,18,199.59,8.43
40531.0,2010,12,19,199.47,8.42
40532.0,2010,12,20,199.44,8.41
40533.0,2010,12,21,199.55,8.42
40534.0,2010,12,22,199.54,8.41
40535.0,2010,12,23,199.57,8.41
40536.0,2010,12,24,199.5,8.39
40537.0,2010,12,25,199.53,8.38
40538.0,2010,12,26,199.48,8.37
40539.0,2010,12,27,199.38,8.34
40540.0,2010,12,28,199.54,8.35
40541.0,2010,12,29,199.42,8.29
40542.0,2010,12,30,199.5,8.29
40543.0,2010,12,31,199.5,8.25
40544.0,2011,1,1,199.39,8.25
40545.0,2011,1,2,199.47,8.23
40546.0,2011,1,3,199.44,8.21
40547.0,2011,1,4,199.48,8.19
40548.0,2011,1,5,199.53,8.15
40549.0,2011,1,6,199.55,8.14
40550.0,2011,1,7,199.44,8.13
40551.0,2011,1,8,199.56,8.11
40552.0,2011,1,9,199.56,8.08
40553.0,2011,1,10,199.46,8.09
40554.0,2011,1,11,199.51,8.07
40555.0,2011,1,12,199.47,8.06
40556.0,2011,1,13,199.46,8.04
40557.0,2011,1,14,199.45,8.03
40558.0,2011,1,15,199.48,8.01
40559.0,2011,1,16,199.45,8.0
40560.0,2011,1,17,199.32,8.01
40561.0,2011,1,18,199.39,7.99
40562.0,2011,1,19,199.49,7.97
40563.0,2011,1,20,199.34,7.96
40564.0,2011,1,21,199.39,7.95
40565.0,2011,1,22,199.49,7.93
40566.0,2011,1,23,199.32,7.94
40567.0,2011,1,24,199.29,7.93
40568.0,2011,1,25,199.45,7.92
40569.0,2011,1,26,199.47,7.91
40570.0,2011,1,27,199.45,7.89
40571.0,2011,1,28,199.47,7.88
40572.0,2011,1,29,199.43,7.88
40573.0,2011,1,30,199.34,7.87
40574.0,2011,1,31,199.29,7.86
40575.0,2011,2,1,199.35,7.86
40576.0,2011,2,2,199.28,7.85
40577.0,2011,2,3,199.42,7.83
40578.0,2011,2,4,199.38,7.82
40579.0,2011,2,5,199.35,7.81
40580.0,2011,2,6,199.4,7.8
40581.0,2011,2,7,199.43,7.8
40582.0,2011,2,8,199.45,7.78
40583.0,2011,2,9,199.51,7.76
40584.0,2011,2,10,199.47,7.75
40585.0,2011,2,11,199.43,7.74
40586.0,2011,2,12,199.51,7.73
40587.0,2011,2,13,199.33,7.72
40588.0,2011,2,14,199.48,7.7
40589.0,2011,2,15,199.46,7.71
40590.0,2011,2,16,199.46,7.68
40591.0,2011,2,17,199.54,7.67
40592.0,2011,2,18,199.46,7.67
40593.0,2011,2,19,199.58,7.62
40594.0,2011,2,20,199.57,7.62
40595.0,2011,2,21,199.51,7.59
40596.0,2011,2,22,199.57,7.6
40597.0,2011,2,23,199.62,7.59
40598.0,2011,2,24,199.58,7.58
40599.0,2011,2,25,199.58,7.56
40600.0,2011,2,26,199.56,7.56
40601.0,2011,2,27,199.54,7.55
40602.0,2011,2,28,199.5,7.51
40603.0,2011,3,1,199.48,7.52
40604.0,2011,3,2,199.56,7.51
40605.0,2011,3,3,199.51,7.5
40606.0,2011,3,4,199.51,7.45
40607.0,2011,3,5,199.46,7.45
40608.0,2011,3,6,199.53,7.46
40609.0,2011,3,7,199.49,7.44
40610.0,2011,3,8,199.65,7.45
40611.0,2011,3,9,199.63,7.36
40612.0,2011,3,10,199.66,7.42
40613.0,2011,3,11,199.69,7.41
40614.0,2011,3,12,199.64,7.36
40615.0,2011,3,13,199.72,7.34
40616.0,2011,3,14,199.62,7.36
40617.0,2011,3,15,199.71,7.31
40618.0,2011,3,16,199.7,7.32
40619.0,2011,3,17,199.64,7.32
40620.0,2011,3,18,199.63,7.26
40621.0,2011,3,19,199.64,7.31
40622.0,2011,3,20,199.61,7.26
40623.0,2011,3,21,199.68,7.27
40624.0,2011,3,22,199.78,7.25
40625.0,2011,3,23,199.77,7.19
40626.0,2011,3,24,199.7,7.21
40627.0,2011,3,25,199.76,7.21
40628.0,2011,3,26,199.66,7.22
40629.0,2011,3,27,199.7,7.21
40630.0,2011,3,28,199.63,7.2
40631.0,2011,3,29,199.66,7.17
40632.0,2011,3,30,199.64,7.18
40633.0,2011,3,31,199.63,7.12
40634.0,2011,4,1,199.63,7.16
40635.0,2011,4,2,199.7,7.09
40636.0,2011,4,3,199.62,7.04
40637.0,2011,4,4,199.67,7.07
40638.0,2011,4,5,199.64,7.07
40639.0,2011,4,6,199.71,7.06
40640.0,2011,4,7,199.73,7.06
40641.0,2011,4,8,199.73,7.06
40642.0,2011,4,9,199.74,7.07
40643.0,2011,4,10,199.69,7.03
40644.0,2011,4,11,199.69,6.99
40645.0,2011,4,12,199.8,7.0
40646.0,2011,4,13,199.72,6.99
40647.0,2011,4,14,199.78,7.0
40648.0,2011,4,15,199.74,6.92
40649.0,2011,4,16,199.73,6.98
40650.0,2011,4,17,199.76,6.94
40651.0,2011,4,18,199.71,6.96
40652.0,2011,4,19,199.72,6.93
40653.0,2011,4,20,199.75,6.92
40654.0,2011,4,21,199.73,6.89
40655.0,2011,4,22,199.76,6.94
40656.0,2011,4,23,199.7,6.88
40657.0,2011,4,24,199.72,6.88
40658.0,2011,4,25,199.71,6.89
40659.0,2011,4,26,199.73,6.82
40660.0,2011,4,27,199.76,6.86
40661.0,2011,4,28,199.77,6.85
40662.0,2011,4,29,199.79,6.82
40663.0,2011,4,30,199.8,6.84
40664.0,2011,5,1,199.7,6.8
40665.0,2011,5,2,199.67,6.83
40666.0,2011,5,3,199.74,6.9
40667.0,2011,5,4,199.7,6.84
40668.0,2011,5,5,199.69,6.83
40669.0,2011,5,6,199.79,6.84
40670.0,2011,5,7,199.75,6.86
40671.0,2011,5,8,199.73,6.84
40672.0,2011,5,9,199.69,6.87
40673.0,2011,5,10,199.65,6.88
40674.0,2011,5,11,199.66,6.86
40675.0,2011,5,12,199.66,6.84
40676.0,2011,5,13,199.65,6.88
40677.0,2011,5,14,199.62,6.84
40678.0,2011,5,15,199.65,6.84
40679.0,2011,5,16,199.59,6.82
40680.0,2011,5,17,199.72,6.85
